SR-p53,mol_id,smiles
0,TOX4287,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1
0,TOX9231,CC(CO)CO
0,TOX26758,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2
0,TOX5603,CNCCO
0,TOX25354,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)C(O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O
1,TOX20678,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
0,TOX26906,CC/C(=C(/CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1
1,TOX26227,O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O
0,TOX12535,CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1
0,TOX6880,CC(=O)OCCOC(C)=O
0,TOX22006,CCCCCCCC(=O)OCC(O)CO
0,TOX28901,C[C@H](N[C@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
0,TOX7367,C=CCCCCCCCCCCCC
0,TOX893,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1
0,TOX25828,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)N1C
0,TOX26220,CC(NNC(=O)c1ccccc1)c1ccccc1
0,TOX2565,C=CCN1C(=O)C(CC(C)C)NC1=S
0,TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
0,TOX4835,O=CC=Cc1ccccc1
0,TOX12513,Cc1cc(C)n(CO)n1
0,TOX27309,Cc1c(-c2cccnc2)c2ccccc2n1CCCCC(=O)O
0,TOX3542,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
0,TOX1440,C=CN1CCCC1=O
0,TOX25685,CC1(c2ccccc2)OC(C(=O)O)=CC1=O
1,TOX26112,O=C1C(=O)c2ncccc2-c2cccnc21
0,TOX58,Nc1nnc(-c2ccc([N+](=O)[O-])o2)o1
1,TOX2563,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
0,TOX26503,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@](C)(O)CC[C@]4(C)[C@H]3CC[C@]12C
1,TOX17186,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
1,TOX6076,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H](OC(=O)c2cc(O)c(O)c(OC(=O)c3cc(O)c(O)c(O)c3)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1)c1cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c1
0,TOX25539,CCNC1(c2cccs2)CCCCC1=O
0,TOX23814,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21
1,TOX12589,O=c1oc2ccccc2c(O)c1C(CC(O)c1ccc(-c2ccc(Br)cc2)cc1)c1ccccc1
0,TOX27136,Fc1c(F)c(F)c(Br)c(F)c1F
0,TOX26508,F/C(COc1ccc2c(c1)[nH]c1ccccc12)=C1/CN2CCC1CC2
0,TOX24374,CC(=O)c1ccc(C)cc1
0,TOX830,COc1c2occc2cc2ccc(=O)oc12
0,TOX27874,C=C1C[C@]23CC[C@@H]4[C@](C)(C(=O)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CCC[C@]4(C)[C@@H]2C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]2OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1C3
0,TOX321,C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1
0,TOX3103,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1
0,TOX20320,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
0,TOX27659,CCCCCC=CCC(=O)OC
0,TOX24317,O=S(=O)(O)c1ccc(O)c2ncccc12
1,TOX674,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
0,TOX28777,CN(C)C(=O)CNC(=O)Cc1ccccc1
0,TOX363,ON=C1CCCC1
0,TOX24369,CN(C)c1ccncc1
0,TOX3372,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
1,TOX804,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
1,TOX28869,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
0,TOX27138,CC(C)(C)c1ccccc1
0,TOX1251,O=C1NS(=O)(=O)c2ccccc21
0,TOX28635,CCCCC(=O)[O-]
0,TOX27525,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21
1,TOX27775,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O
0,TOX3109,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1
0,TOX27428,CCOC(=O)COc1ccc(C)cc1
0,TOX12759,Oc1ccc(O)c2c(O)cccc12
0,TOX18926,O=C(OCc1ccccc1)C(=O)OCc1ccccc1
1,TOX29080,Brc1c2ccccc2cc2ccccc12
0,TOX1425,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1
1,TOX3550,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
0,TOX12416,CSc1nc(NC2CC2)nc(NC(C)(C)C)n1
0,TOX21809,O=S(=O)(O)NC1CCCCC1
0,TOX28751,CCCOC(=O)Cc1ccc(OCC(=O)N(CC)CC)c(OC)c1
0,TOX26078,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C
0,TOX4937,c1ccc2c(c1)Oc1ccccc1S2
0,TOX27248,Cc1cc2c3c(c1)C(c1ccccc1)=N[C@@H](NC(=O)c1ccncc1)C(=O)N3CC2
1,TOX15206,C=CCSSCC=C
0,TOX1848,CCNc1cccc(C)c1
0,TOX18762,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
0,TOX28515,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
1,TOX14181,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
1,TOX21897,[O-][n+]1ccccc1SSc1cccc[n+]1[O-]
0,TOX958,Nc1ccc([N+](=O)[O-])cc1N
0,TOX922,Nc1ccc2ccccc2c1S(=O)(=O)O
0,TOX26389,Cc1cccc(C)c1NC(=O)CN(CC(=O)O)CC(=O)O
1,TOX25318,O=c1ccc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc2o1
0,TOX6619,O=S(=O)(Cl)c1ccccc1
0,TOX3021,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
1,TOX26862,C/C(=C\c1csc(C)n1)C1C[C@@H]2O[C@]2(C)CCC[C@H](C)C(O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
1,TOX26576,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21
1,TOX25706,COc1cc(NCCCC(C)N)c2ncccc2c1
0,TOX26942,CNCCCN1c2ccccc2CCc2ccccc21
1,TOX27316,CCCCN1C(=O)[C@@H]([C@H](O)C2CCCCC2)NC(=O)C12CCN(Cc1ccc(Oc3ccc(C(=O)O)cc3)cc1)CC2
0,TOX24835,N#Cc1ccc(CC(=O)c2cccc(C(F)(F)F)c2)cc1
1,TOX155,S=C=NCc1ccccc1
1,TOX26602,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F
0,TOX32,NC(=O)CCCCC(N)=O
0,TOX20736,CO[C@H]1[C@H]([C@@]2(C)O[C@@H]2CC=C(C)C)[C@]2(CC[C@H]1OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)CO2
1,TOX20526,C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O
0,TOX4559,Nc1ccc(/N=N\c2ccccc2)c(N)c1
0,TOX4515,[O-][Cl+3]([O-])([O-])[O-]
0,TOX6783,NC(=O)NC(N)=O
1,TOX1959,Oc1c(Br)cc(Br)cc1Br
1,TOX846,CN(N=O)C(=N)N[N+](=O)[O-]
0,TOX704,NNc1nc(-c2ccc(N)cc2)cs1
1,TOX3197,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)C(CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)[C@@H](O)C[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
0,TOX14601,CC(Cc1ccc(C(C)(C)C)cc1)CN1C[C@H](C)O[C@H](C)C1
0,TOX27093,CCCCCC#CC(=O)OC
1,TOX29000,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
1,TOX1715,CC1=CC(=O)c2ccccc2C1=O
0,TOX25161,c1ccc2c(c1)OCC(C1=NCCN1)O2
1,TOX6181,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
0,TOX7543,CCN(O)CC
0,TOX21299,CCCCCCC1(C)CCC(=O)O1
0,TOX6220,CCOc1cc(OCC)c(C(C)=O)cc1OCC
0,TOX1847,c1ccc(Oc2ccccc2)cc1
0,TOX4311,O=C([O-])CF
1,TOX96,O=C([O-])C1O[Sb]2OC(=O)C(O2)C(C(=O)[O-])O[Sb]2OC(=O)C1O2
0,TOX28674,C/N=C(\NC)NCc1ccccc1.C/N=C(\NC)NCc1ccccc1
0,TOX28905,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
0,TOX21708,Cc1ccc(N=Nc2c(O)ccc(N=Nc3ccc(S(=O)(=O)[O-])cc3)c2O)c(C)c1
0,TOX4553,NC(=O)N=NC(N)=O
1,TOX13538,C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
0,TOX27830,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2
0,TOX24875,CN(C)CCN(C)CCO
1,TOX28479,Cc1[nH]nc2c1N=C(c1ccccc1Cl)c1cc([N+](=O)[O-])ccc1N2
1,TOX29117,Cc1cccc(O)c1N
0,TOX29063,CCCn1cc[n+](C)c1
1,TOX3057,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
0,TOX20583,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
0,TOX23874,NCCc1ccc(O)cc1
1,TOX5355,O=CCCCC=O
0,TOX24764,CC(C)C(=O)OCCc1ccccc1
1,TOX4882,C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1
0,TOX22614,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
0,TOX24873,C=CC(=O)OCCCCCCCCCC
0,TOX24910,CC(O)C#CC(C)O
0,TOX855,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
0,TOX1867,Nc1ccc(Br)cc1
1,TOX5716,O=C1c2ccccc2C(=O)C1(O)O
0,TOX27424,O=C1CCCCC1C1CCCCC1
0,TOX26189,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1
1,TOX24872,c1cc(OCC2CO2)ccc1Cc1ccc(OCC2CO2)cc1
0,TOX5074,O=C(O)c1ccc(O)cc1O
0,TOX26269,c1ccc2c(c1)OCC(CN1CCCCC1)O2
0,TOX20716,CCC(C)(C)C1CCC(O)CC1
0,TOX22579,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2
0,TOX24765,CC(=O)OCC=Cc1ccccc1
0,TOX20284,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl
1,TOX26019,OC[C@H]1O[C@@H](n2cnc3c(S)ncnc32)[C@H](O)[C@@H]1O
0,TOX24394,CC(C)(C)C1CCC(=O)CC1
0,TOX24832,COC(C=C(C)CCC=C(C)C)OC
0,TOX24999,CC1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1
0,TOX6053,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O
0,TOX1802,C1CCC(C2CCCCC2)CC1
0,TOX27131,CC(C)=CCOC(=O)c1ccccc1
0,TOX25847,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
0,TOX21884,CCC1OCC(COc2ccc(Oc3ccccc3)cc2)O1
0,TOX27113,CC1(C)CCC[C@@]2(C)[C@H]1CC[C@@]1(C)OCC[C@H]21
0,TOX27152,CCCC(=O)OC/C=C(\C)CCC=C(C)C
0,TOX421,Cl[C@H]1OCCO[C@@H]1Cl
0,TOX25755,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br
0,TOX24401,N=C(N)c1ccccc1
0,TOX28538,CC(CN(C)C)CN1c2ccccc2S(=O)(=O)c2ccccc21
0,TOX26772,CCCN(CCc1cccs1)[C@H]1CCc2c(O)cccc2C1
0,TOX26188,NNC(=O)CP(=O)(c1ccccc1)c1ccccc1
0,TOX7509,COC(=O)CCS
0,TOX7498,CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1
0,TOX3298,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
0,TOX7546,C=C(C)c1cccc(C(=C)C)c1
1,TOX28164,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
0,TOX27952,CC(=O)C=CC1=C(C)CCCC1(C)C
0,TOX1036,CCN(C)N=O
0,TOX29271,Nc1ccccc1Nc1ccccc1
1,TOX294,CC(=O)Nc1ccc(C(=O)CCl)cc1
0,TOX4555,[O-][N+](=Nc1ccccc1)c1ccccc1
0,TOX29384,C1CCC2=NCCCN2CC1
0,TOX20714,Cc1cc(C)c(N)c(Cl)c1
0,TOX7244,CCC(Cl)CCl
0,TOX13445,CN(C)CCCNCCCN
0,TOX8120,C=CC(C)(C)CC(=O)OC
0,TOX26457,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
0,TOX1654,O=C(O)CCCC(=O)O
1,TOX3638,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5COC(c6cccs6)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O
1,TOX21752,C[C@]12C(=O)OC(=O)[C@@]1(C)C1CCC2O1
0,TOX20739,C[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@H]2O)[C@@H](N)C[C@@H]1NC(=N)C(=O)O
0,TOX24998,FC(F)(F)C(=NOCC1OCCO1)c1ccc(Cl)cc1
0,TOX14816,CNC(=O)/C=C(\C)OP(=O)(OC)OC
1,TOX26482,Cc1nc2ccc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1
0,TOX25750,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
1,TOX27821,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1
0,TOX420,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1
0,TOX2944,COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)[C@H]3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1[C@@H](C2)[N+](C)(C)CC3
0,TOX2861,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O
0,TOX22299,CC(C)c1ccc(O)cc1
0,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-]
0,TOX29314,CCCCCCCCCCCCCBr
1,TOX213,CCCCN(N=O)C(=N)N[N+](=O)[O-]
0,TOX28595,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1
0,TOX24405,N=C(N)NN
0,TOX583,C=CC(=O)OCC
0,TOX24837,OCCC1CCCCN1
0,TOX1800,CCN(CC)c1ccccc1
0,TOX5409,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3
0,TOX9182,CC(C)CC(=O)O
1,TOX26134,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1
0,TOX5110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
0,TOX7361,CC(C)(CO)COC(=O)C(C)(C)CO
0,TOX2399,O=c1oc2cc(O)ccc2c2oc3cc(O)ccc3c12
0,TOX835,COC(=O)NN
0,TOX27095,CCOC(=O)CCc1ccccc1
0,TOX25162,CCn1ccnc1CC1COc2ccccc2O1
